cod_mun,cod_sec,municipio,provincia,pob,dis_sec,renta,renta_previa,var_anual
15001,,Abegondo,A Coruña,5398,,17150,17150,0
,1500101001,Abegondo,A Coruña,NA,Distrito 01 Sección 001,17150,17850,-3.9215686274509802
,1500101002,Abegondo,A Coruña,NA,Distrito 01 Sección 002,17850,17150,4.081632653061225
,1500102001,Abegondo,A Coruña,NA,Distrito 02 Sección 001,16450,16450,0
,1500102002,Abegondo,A Coruña,NA,Distrito 02 Sección 002,16450,16450,0
,1500103001,Abegondo,A Coruña,NA,Distrito 03 Sección 001,17150,16450,4.25531914893617
,1500103002,Abegondo,A Coruña,NA,Distrito 03 Sección 002,17150,17150,0
15002,,Ames,A Coruña,32104,,17150,17150,0
,1500201001,Ames,A Coruña,NA,Distrito 01 Sección 001,15050,15050,0
,1500201003,Ames,A Coruña,NA,Distrito 01 Sección 003,17150,17150,0
,1500202001,Ames,A Coruña,NA,Distrito 02 Sección 001,18550,19250,-3.6363636363636362
,1500202002,Ames,A Coruña,NA,Distrito 02 Sección 002,17150,16450,4.25531914893617
,1500203001,Ames,A Coruña,NA,Distrito 03 Sección 001,17150,17150,0
,1500203002,Ames,A Coruña,NA,Distrito 03 Sección 002,15050,15050,0
,1500203003,Ames,A Coruña,NA,Distrito 03 Sección 003,19250,19250,0
,1500203004,Ames,A Coruña,NA,Distrito 03 Sección 004,19950,20650,-3.389830508474576
,1500203005,Ames,A Coruña,NA,Distrito 03 Sección 005,16450,17150,-4.081632653061225
,1500203006,Ames,A Coruña,NA,Distrito 03 Sección 006,16450,16450,0
,1500203007,Ames,A Coruña,NA,Distrito 03 Sección 007,19250,18550,3.7735849056603774
,1500203008,Ames,A Coruña,NA,Distrito 03 Sección 008,17150,17150,0
,1500203009,Ames,A Coruña,NA,Distrito 03 Sección 009,15750,15750,0
,1500203010,Ames,A Coruña,NA,Distrito 03 Sección 010,26950,26950,0
,1500203011,Ames,A Coruña,NA,Distrito 03 Sección 011,18550,18550,0
,1500203012,Ames,A Coruña,NA,Distrito 03 Sección 012,16450,17150,-4.081632653061225
,1500203013,Ames,A Coruña,NA,Distrito 03 Sección 013,15750,15050,4.651162790697675
,1500203014,Ames,A Coruña,NA,Distrito 03 Sección 014,17150,17850,-3.9215686274509802
,1500203015,Ames,A Coruña,NA,Distrito 03 Sección 015,15750,15750,0
,1500203016,Ames,A Coruña,NA,Distrito 03 Sección 016,15750,16450,-4.25531914893617
15003,,Aranga,A Coruña,1834,,16450,15750,4.444444444444445
,1500301001,Aranga,A Coruña,NA,Distrito 01 Sección 001,16450,15750,4.444444444444445
,1500301002,Aranga,A Coruña,NA,Distrito 01 Sección 002,NA,NA,NA
15004,,Ares,A Coruña,5829,,17150,16450,4.25531914893617
,1500401001,Ares,A Coruña,NA,Distrito 01 Sección 001,17150,16450,4.25531914893617
,1500401002,Ares,A Coruña,NA,Distrito 01 Sección 002,16450,16450,0
,1500401003,Ares,A Coruña,NA,Distrito 01 Sección 003,16450,16450,0
,1500402001,Ares,A Coruña,NA,Distrito 02 Sección 001,19950,19950,0
15005,,Arteixo,A Coruña,32738,,15750,15750,0
,1500501001,Arteixo,A Coruña,NA,Distrito 01 Sección 001,15050,15750,-4.444444444444445
,1500501002,Arteixo,A Coruña,NA,Distrito 01 Sección 002,16450,17150,-4.081632653061225
,1500501003,Arteixo,A Coruña,NA,Distrito 01 Sección 003,15750,15750,0
,1500501004,Arteixo,A Coruña,NA,Distrito 01 Sección 004,14350,15050,-4.651162790697675
,1500501005,Arteixo,A Coruña,NA,Distrito 01 Sección 005,19250,19250,0
,1500501006,Arteixo,A Coruña,NA,Distrito 01 Sección 006,15750,15750,0
,1500501007,Arteixo,A Coruña,NA,Distrito 01 Sección 007,17150,16450,4.25531914893617
,1500501008,Arteixo,A Coruña,NA,Distrito 01 Sección 008,16450,16450,0
,1500501009,Arteixo,A Coruña,NA,Distrito 01 Sección 009,15050,15050,0
,1500501010,Arteixo,A Coruña,NA,Distrito 01 Sección 010,17150,17150,0
,1500501011,Arteixo,A Coruña,NA,Distrito 01 Sección 011,15050,15750,-4.444444444444445
,1500502001,Arteixo,A Coruña,NA,Distrito 02 Sección 001,16450,16450,0
,1500502002,Arteixo,A Coruña,NA,Distrito 02 Sección 002,17850,17150,4.081632653061225
,1500503001,Arteixo,A Coruña,NA,Distrito 03 Sección 001,15750,16450,-4.25531914893617
,1500504001,Arteixo,A Coruña,NA,Distrito 04 Sección 001,15050,15050,0
,1500504002,Arteixo,A Coruña,NA,Distrito 04 Sección 002,14350,14350,0
,1500504003,Arteixo,A Coruña,NA,Distrito 04 Sección 003,15050,15050,0
,1500504004,Arteixo,A Coruña,NA,Distrito 04 Sección 004,13650,13650,0
15006,,Arzúa,A Coruña,6011,,15050,15050,0
,1500601001,Arzúa,A Coruña,NA,Distrito 01 Sección 001,15050,15750,-4.444444444444445
,1500601002,Arzúa,A Coruña,NA,Distrito 01 Sección 002,13650,13650,0
,1500601003,Arzúa,A Coruña,NA,Distrito 01 Sección 003,15750,15050,4.651162790697675
,1500601004,Arzúa,A Coruña,NA,Distrito 01 Sección 004,15050,15050,0
,1500601005,Arzúa,A Coruña,NA,Distrito 01 Sección 005,NA,NA,NA
,1500601007,Arzúa,A Coruña,NA,Distrito 01 Sección 007,15750,15050,4.651162790697675
15007,,A Baña,A Coruña,3415,,15750,15050,4.651162790697675
,1500701001,A Baña,A Coruña,NA,Distrito 01 Sección 001,15750,15750,0
,1500701002,A Baña,A Coruña,NA,Distrito 01 Sección 002,15050,15050,0
,1500702001,A Baña,A Coruña,NA,Distrito 02 Sección 001,15750,15750,0
15008,,Bergondo,A Coruña,6661,,17850,17850,0
,1500801001,Bergondo,A Coruña,NA,Distrito 01 Sección 001,18550,17850,3.9215686274509802
,1500801002,Bergondo,A Coruña,NA,Distrito 01 Sección 002,17850,17150,4.081632653061225
,1500802001,Bergondo,A Coruña,NA,Distrito 02 Sección 001,18550,18550,0
,1500803001,Bergondo,A Coruña,NA,Distrito 03 Sección 001,18550,19250,-3.6363636363636362
,1500803002,Bergondo,A Coruña,NA,Distrito 03 Sección 002,16450,17150,-4.081632653061225
15009,,Betanzos,A Coruña,13053,,16450,15750,4.444444444444445
,1500901001,Betanzos,A Coruña,NA,Distrito 01 Sección 001,13650,12950,5.405405405405405
,1500901004,Betanzos,A Coruña,NA,Distrito 01 Sección 004,17150,17150,0
,1500901005,Betanzos,A Coruña,NA,Distrito 01 Sección 005,16450,15750,4.444444444444445
,1500901006,Betanzos,A Coruña,NA,Distrito 01 Sección 006,16450,17150,-4.081632653061225
