cod_mun,cod_sec,municipio,provincia,pob,dis_sec,renta,renta_previa,var_anual
15001,,Abegondo,A Coruña,5398,,17150,14350,19.51219512195122
,1500101001,Abegondo,A Coruña,NA,Distrito 01 Sección 001,17850,15750,13.333333333333334
,1500101002,Abegondo,A Coruña,NA,Distrito 01 Sección 002,17150,13650,25.64102564102564
,1500102001,Abegondo,A Coruña,NA,Distrito 02 Sección 001,16450,14350,14.634146341463413
,1500102002,Abegondo,A Coruña,NA,Distrito 02 Sección 002,16450,13650,20.51282051282051
,1500103001,Abegondo,A Coruña,NA,Distrito 03 Sección 001,16450,14350,14.634146341463413
,1500103002,Abegondo,A Coruña,NA,Distrito 03 Sección 002,17150,14350,19.51219512195122
15002,,Ames,A Coruña,32104,,17150,15050,13.953488372093023
,1500201001,Ames,A Coruña,NA,Distrito 01 Sección 001,15050,12950,16.216216216216218
,1500201003,Ames,A Coruña,NA,Distrito 01 Sección 003,17150,15050,13.953488372093023
,1500202001,Ames,A Coruña,NA,Distrito 02 Sección 001,19250,17150,12.244897959183673
,1500202002,Ames,A Coruña,NA,Distrito 02 Sección 002,16450,13650,20.51282051282051
,1500203001,Ames,A Coruña,NA,Distrito 03 Sección 001,17150,14350,19.51219512195122
,1500203002,Ames,A Coruña,NA,Distrito 03 Sección 002,15050,13650,10.256410256410255
,1500203003,Ames,A Coruña,NA,Distrito 03 Sección 003,19250,15750,22.22222222222222
,1500203004,Ames,A Coruña,NA,Distrito 03 Sección 004,20650,17850,15.686274509803921
,1500203005,Ames,A Coruña,NA,Distrito 03 Sección 005,17150,15050,13.953488372093023
,1500203006,Ames,A Coruña,NA,Distrito 03 Sección 006,16450,15050,9.30232558139535
,1500203007,Ames,A Coruña,NA,Distrito 03 Sección 007,18550,17150,8.16326530612245
,1500203008,Ames,A Coruña,NA,Distrito 03 Sección 008,17150,15050,13.953488372093023
,1500203009,Ames,A Coruña,NA,Distrito 03 Sección 009,15750,12950,21.62162162162162
,1500203010,Ames,A Coruña,NA,Distrito 03 Sección 010,26950,24850,8.450704225352112
,1500203011,Ames,A Coruña,NA,Distrito 03 Sección 011,18550,15750,17.77777777777778
,1500203012,Ames,A Coruña,NA,Distrito 03 Sección 012,17150,14350,19.51219512195122
,1500203013,Ames,A Coruña,NA,Distrito 03 Sección 013,15050,12950,16.216216216216218
,1500203014,Ames,A Coruña,NA,Distrito 03 Sección 014,17850,15750,13.333333333333334
,1500203015,Ames,A Coruña,NA,Distrito 03 Sección 015,15750,13650,15.384615384615385
,1500203016,Ames,A Coruña,NA,Distrito 03 Sección 016,16450,15050,9.30232558139535
15003,,Aranga,A Coruña,1834,,15750,13650,15.384615384615385
,1500301001,Aranga,A Coruña,NA,Distrito 01 Sección 001,15750,13650,15.384615384615385
,1500301002,Aranga,A Coruña,NA,Distrito 01 Sección 002,NA,13650,NA
15004,,Ares,A Coruña,5829,,16450,14350,14.634146341463413
,1500401001,Ares,A Coruña,NA,Distrito 01 Sección 001,16450,15050,9.30232558139535
,1500401002,Ares,A Coruña,NA,Distrito 01 Sección 002,16450,13650,20.51282051282051
,1500401003,Ares,A Coruña,NA,Distrito 01 Sección 003,16450,13650,20.51282051282051
,1500402001,Ares,A Coruña,NA,Distrito 02 Sección 001,19950,17850,11.76470588235294
15005,,Arteixo,A Coruña,32738,,15750,13650,15.384615384615385
,1500501001,Arteixo,A Coruña,NA,Distrito 01 Sección 001,15750,12950,21.62162162162162
,1500501002,Arteixo,A Coruña,NA,Distrito 01 Sección 002,17150,15050,13.953488372093023
