cod_mun,cod_sec,municipio,provincia,dis_sec,y19,y15,var1519
15001,,Abegondo,A Coruña,,17150,14350,19.5121951219512
15002,,Ames,A Coruña,,17150,15050,13.953488372093
15003,,Aranga,A Coruña,,15750,13650,15.3846153846154
15004,,Ares,A Coruña,,16450,14350,14.6341463414634
15005,,Arteixo,A Coruña,,15750,13650,15.3846153846154
15006,,Arzúa,A Coruña,,15050,12250,22.8571428571429
15007,,A Baña,A Coruña,,15050,12950,16.2162162162162
15008,,Bergondo,A Coruña,,17850,15050,18.6046511627907
15009,,Betanzos,A Coruña,,15750,14350,9.75609756097561
15010,,Boimorto,A Coruña,,15050,12250,22.8571428571429
15011,,Boiro,A Coruña,,15750,12950,21.6216216216216
15012,,Boqueixón,A Coruña,,16450,14350,14.6341463414634
15013,,Brión,A Coruña,,17150,14350,19.5121951219512
15014,,Cabana de Bergantiños,A Coruña,,15050,12950,16.2162162162162
15015,,Cabanas,A Coruña,,17850,15750,13.3333333333333
15016,,Camariñas,A Coruña,,12950,10850,19.3548387096774
15017,,Cambre,A Coruña,,17150,15050,13.953488372093
15018,,A Capela,A Coruña,,17150,14350,19.5121951219512
15019,,Carballo,A Coruña,,15050,12250,22.8571428571429
15901,,Cariño,A Coruña,,14350,11550,24.2424242424242
15020,,Carnota,A Coruña,,15050,12950,16.2162162162162
15021,,Carral,A Coruña,,16450,14350,14.6341463414634
15022,,Cedeira,A Coruña,,14350,12250,17.1428571428571
15023,,Cee,A Coruña,,15050,12950,16.2162162162162
15024,,Cerceda,A Coruña,,18550,15050,23.2558139534884
15025,,Cerdido,A Coruña,,14350,11550,24.2424242424242
15027,,Coirós,A Coruña,,17850,15050,18.6046511627907
15028,,Corcubión,A Coruña,,15750,12950,21.6216216216216
15029,,Coristanco,A Coruña,,14350,12250,17.1428571428571
15030,,A Coruña,A Coruña,,18550,16450,12.7659574468085
15031,,Culleredo,A Coruña,,17150,15050,13.953488372093
15032,,Curtis,A Coruña,,15750,12950,21.6216216216216
15033,,Dodro,A Coruña,,15750,12950,21.6216216216216
15034,,Dumbría,A Coruña,,16450,12950,27.027027027027
15035,,Fene,A Coruña,,17850,15050,18.6046511627907
15036,,Ferrol,A Coruña,,17150,15050,13.953488372093
15037,,Fisterra,A Coruña,,12950,10150,27.5862068965517
15038,,Frades,A Coruña,,15750,12950,21.6216216216216
15039,,Irixoa,A Coruña,,15750,12950,21.6216216216216
15041,,A Laracha,A Coruña,,15750,13650,15.3846153846154
15040,,Laxe,A Coruña,,14350,11550,24.2424242424242
15042,,Lousame,A Coruña,,15750,12950,21.6216216216216
15043,,Malpica de Bergantiños,A Coruña,,14350,12250,17.1428571428571
15044,,Mañón,A Coruña,,15050,12950,16.2162162162162
15045,,Mazaricos,A Coruña,,15750,12250,28.5714285714286
15046,,Melide,A Coruña,,13650,11550,18.1818181818182
15047,,Mesía,A Coruña,,15050,12950,16.2162162162162
15048,,Miño,A Coruña,,16450,14350,14.6341463414634
15049,,Moeche,A Coruña,,14350,11550,24.2424242424242
15050,,Monfero,A Coruña,,15750,12950,21.6216216216216
15051,,Mugardos,A Coruña,,16450,14350,14.6341463414634
15053,,Muros,A Coruña,,15050,12250,22.8571428571429
15052,,Muxía,A Coruña,,12950,10850,19.3548387096774
15054,,Narón,A Coruña,,16450,14350,14.6341463414634
15055,,Neda,A Coruña,,16450,14350,14.6341463414634
15056,,Negreira,A Coruña,,15050,12250,22.8571428571429
15057,,Noia,A Coruña,,15750,13650,15.3846153846154
15058,,Oleiros,A Coruña,,19950,17150,16.3265306122449
15059,,Ordes,A Coruña,,15750,13650,15.3846153846154
15060,,Oroso,A Coruña,,16450,14350,14.6341463414634
15061,,Ortigueira,A Coruña,,14350,12250,17.1428571428571
15062,,Outes,A Coruña,,15050,12950,16.2162162162162
15902,,Oza-Cesuras,A Coruña,,15750,13650,15.3846153846154
15064,,Paderne,A Coruña,,16450,15050,9.30232558139535
15065,,Padrón,A Coruña,,15750,12950,21.6216216216216
15066,,O Pino,A Coruña,,15750,12950,21.6216216216216
15067,,A Pobra do Caramiñal,A Coruña,,15750,13650,15.3846153846154
15068,,Ponteceso,A Coruña,,15050,12950,16.2162162162162
15069,,Pontedeume,A Coruña,,16450,14350,14.6341463414634
15070,,As Pontes de García Rodríguez,A Coruña,,19950,18550,7.54716981132075
15071,,Porto do Son,A Coruña,,14350,12250,17.1428571428571
15072,,Rianxo,A Coruña,,15750,12950,21.6216216216216
15073,,Ribeira,A Coruña,,15050,12950,16.2162162162162
15074,,Rois,A Coruña,,15750,12950,21.6216216216216
15075,,Sada,A Coruña,,16450,14350,14.6341463414634
15076,,San Sadurniño,A Coruña,,16450,13650,20.5128205128205
15077,,Santa Comba,A Coruña,,15050,12250,22.8571428571429
15078,,Santiago de Compostela,A Coruña,,19250,16450,17.0212765957447
15079,,Santiso,A Coruña,,13650,11550,18.1818181818182
15080,,Sobrado,A Coruña,,15050,11550,30.3030303030303
15081,,As Somozas,A Coruña,,16450,14350,14.6341463414634
15082,,Teo,A Coruña,,17850,15050,18.6046511627907
15083,,Toques,A Coruña,,12250,10150,20.6896551724138
15084,,Tordoia,A Coruña,,15750,12950,21.6216216216216
15085,,Touro,A Coruña,,15750,12250,28.5714285714286
15086,,Trazo,A Coruña,,16450,13650,20.5128205128205
15088,,Val do Dubra,A Coruña,,15750,12950,21.6216216216216
15087,,Valdoviño,A Coruña,,16450,14350,14.6341463414634
15089,,Vedra,A Coruña,,16450,14350,14.6341463414634
15091,,Vilarmaior,A Coruña,,16450,14350,14.6341463414634
15090,,Vilasantar,A Coruña,,15750,12950,21.6216216216216
15092,,Vimianzo,A Coruña,,15050,12250,22.8571428571429
15093,,Zas,A Coruña,,15050,12950,16.2162162162162
02001,,Abengibre,Albacete,,15750,12250,28.5714285714286
02002,,Alatoz,Albacete,,11550,10150,13.7931034482759
02003,,Albacete,Albacete,,16450,13650,20.5128205128205
