area,cod_mun,cod_sec,municipio,provincia,y19,y15
municipios,44001,,Ababuj,Teruel,,
municipios,40001,,Abades,Segovia,15750,12950
municipios,10001,,Abadía,Cáceres,11550,10150
municipios,27001,,Abadín,Lugo,14350,11550
municipios,48001,,Abadiño,Vizcaya,21350,19250
municipios,31001,,Abáigar,varra,,
municipios,9001,,Abajas,Burgos,,
municipios,26001,,Ábalos,La Rioja,16450,15050
municipios,20001,,Abaltzisketa,Gipuzkoa,23450,
municipios,19001,,Abádes,Guadalajara,,
municipios,30001,,Abanilla,Murcia,13650,11550
municipios,50001,,Abanto,Zaragoza,,12250
municipios,48002,,Abanto y Ciérva-Abanto Zierbe,Vizcaya,19250,17150
municipios,30002,,Abarán,Murcia,13650,11550
municipios,34001,,Abarca de Campos,Palencia,,
municipios,31002,,Abárzuza/Abartzuza,varra,,
municipios,31003,,Abaurregai/Abaurrea Alta,varra,,
municipios,31004,,Abaurrepea/Abaurrea Baja,varra,,
municipios,15001,,Abegondo,A Coruña,17150,14350
municipios,42001,,Abejar,Soria,18550,15050
municipios,44002,,Abejuela,Teruel,,
municipios,25001,,Abella de la Conca,Lleida,15050,13650
municipios,2001,,Abengibre,Albacete,15750,12250
municipios,13001,,Abenójar,Ciudad Real,12250,10150
municipios,31005,,Aberin,varra,,
municipios,10002,,Abertura,Cáceres,12250,10150
municipios,49002,,Abezames,Zamora,,
municipios,16001,,Abia de la Obispalía,Cuenca,,
municipios,34003,,Abia de las Torres,Palencia,16450,15750
municipios,22001,,Abiego,Huesca,19950,16450
municipios,22002,,Abizanda,Huesca,17850,17850
municipios,4001,,Abla,Almería,13650,10850
municipios,19002,,Ablanque,Guadalajara,,
municipios,31006,,Ablitas,varra,,
municipios,8001,,Abrera,Barcelo,20650,18550
municipios,4002,,Abruce,Almería,12250,10150
municipios,37001,,Abusejo,Salamanca,14350,11550
municipios,28001,,La Acebeda,Madrid,,
municipios,24001,,Acebedo,León,14700,12600
municipios,10003,,Acebo,Cáceres,10150,8750
municipios,16002,,El Acebrón,Cuenca,13650,10850
municipios,6001,,Acedera,Badajoz,12250,10850
municipios,10004,,Acehúche,Cáceres,10850,9450
municipios,10005,,Aceitu,Cáceres,11550,9450
municipios,50002,,Acered,Zaragoza,13650,12250
municipios,6002,,Aceuchal,Badajoz,10850,8750
municipios,22003,,Adahuesca,Huesca,17150,15750
municipios,47001,,Adalia,Valladolid,,
municipios,14001,,Adamuz,Córdoba,12250,10150
municipios,5001,,Adanero,Ávila,16450,13650
municipios,38001,,Adeje,Santa Cruz de Tenerife,12950,10850
municipios,46001,,Ademuz,Valencia,12950,10850
municipios,31007,,Adiós,varra,,
municipios,19003,,Adobes,Guadalajara,,
municipios,46002,,Ador,Valencia,14350,12250
municipios,4003,,Adra,Almería,11550,9450
municipios,9003,,Adrada de Haza,Burgos,15050,13650
municipios,40002,,Adrada de Pirón,Segovia,,
municipios,5002,,La Adrada,Ávila,11550,9450
municipios,42003,,Adradas,Soria,,
municipios,40003,,Adrados,Segovia,13650,10150
municipios,20002,,Adu,Gipuzkoa,24150,
municipios,35001,,Agaete,Las Palmas,15050,11550
municipios,37002,,Agallas,Salamanca,13650,12950
municipios,25002,,Àger,Lleida,18200,15050
municipios,36020,,Agolada,Pontevedra,12950,10850
municipios,50003,,Agón,Zaragoza,17150,15050
municipios,26002,,Agoncillo,La Rioja,16450,15050
municipios,3002,,Agost,Alicante,12950,10850
municipios,25003,,Agramunt,Lleida,17150,15050
municipios,42004,,Ágreda,Soria,17850,15050
municipios,3003,,Agres,Alicante,15750,12950
municipios,18001,,Agrón,Grada,11550,11550
municipios,41001,,Aguadulce,Sevilla,11550,10150
municipios,50004,,Aguarón,Zaragoza,16450,14350
municipios,9006,,Aguas Cándidas,Burgos,,
municipios,47002,,Aguasal,Valladolid,,
municipios,44003,,Aguatón,Teruel,,
municipios,44004,,Aguaviva,Teruel,14350,12950
municipios,13002,,Agudo,Ciudad Real,10850,8750
municipios,22004,,Agüero,Huesca,18550,14700
municipios,40004,,Aguilafuente,Segovia,14350,12950
municipios,9007,,Aguilar de Bureba,Burgos,,
municipios,34004,,Aguilar de Campoo,Palencia,18550,15750
municipios,47003,,Aguilar de Campos,Valladolid,12950,12250
municipios,31008,,Aguilar de Codés,varra,,
municipios,14002,,Aguilar de la Frontera,Córdoba,11550,9450
municipios,8002,,Aguilar de Segarra,Barcelo,22400,18550
municipios,44005,,Aguilar del Alfambra,Teruel,,
municipios,26003,,Aguilar del Río Alhama,La Rioja,15050,12950
municipios,30003,,Águilas,Murcia,12950,10850
municipios,50005,,Aguilón,Zaragoza,20300,18550
municipios,35002,,Agüimes,Las Palmas,15050,12250
municipios,17001,,Agulla,Giro,17850,15050
municipios,46004,,Agullent,Valencia,15050,12250
municipios,38002,,Agulo,Santa Cruz de Tenerife,15050,12950
municipios,1051,,Agurain/Salvatierra,Álava,,
municipios,10006,,Ahigal,Cáceres,11550,10850
municipios,37003,,Ahigal de los Aceiteros,Salamanca,12950,12250
municipios,37004,,Ahigal de Villarino,Salamanca,,
municipios,6003,,Ahillones,Badajoz,12950,10850
municipios,20016,,Aia,Gipuzkoa,20650,
municipios,31009,,Aibar/Oibar,varra,,
municipios,46042,,Aielo de Malferit,Valencia,15050,12250
municipios,46043,,Aielo de Rugat,Valencia,17150,14350
municipios,8014,,Aiguafreda,Barcelo,20650,17150
municipios,43001,,Aiguamúrcia,Tarrago,15050,12950
municipios,17002,,Aiguaviva,Giro,25550,20650
municipios,3004,,Aigües,Alicante,15050,13650
municipios,12002,,Aín,Castellón,16800,14350
municipios,22907,,Aínsa-Sobrarbe,Huesca,17150,15050
municipios,50006,,Ainzón,Zaragoza,16450,14350
municipios,22006,,Aisa,Huesca,19950,17150
municipios,25038,,Aito,Lleida,14350,12950
municipios,20003,,Aizarzabal,Gipuzkoa,22050,
municipios,28002,,Ajalvir,Madrid,19250,16450
municipios,26004,,Ajamil de Cameros,La Rioja,,
municipios,48911,,Ajangiz,Vizcaya,26250,22750
municipios,45001,,Ajofrín,Toledo,13650,11550
municipios,44006,,Alacón,Teruel,14350,10850
municipios,50007,,Aladrén,Zaragoza,,
municipios,47004,,Alaejos,Valladolid,13650,10150
municipios,50008,,Alagón,Zaragoza,17850,15050
municipios,10903,,Alagón del Río,Cáceres,12250,10150
municipios,7002,,Alaior,Baleares,17150,14350
municipios,21001,,Alájar,Huelva,10150,8050
municipios,38003,,Alajeró,Santa Cruz de Tenerife,15750,12950
municipios,29001,,Alameda,Málaga,11550,9450
municipios,37005,,La Alameda de Gardón,Salamanca,,
municipios,45002,,Alameda de la Sagra,Toledo,12250,10150
municipios,28003,,Alameda del Valle,Madrid,16450,15750
municipios,18002,,Alamedilla,Grada,12250,10850
municipios,37006,,La Alamedilla,Salamanca,13650,11550
municipios,13003,,Alamillo,Ciudad Real,12950,10150
municipios,19004,,Alaminos,Guadalajara,,
municipios,28004,,El Álamo,Madrid,15050,12950
municipios,25004,,Els Alamús,Lleida,18550,15750
municipios,6004,,Alange,Badajoz,11550,9450
municipios,41002,,Alanís,Sevilla,10150,9450
municipios,46005,,Alaquàs,Valencia,14350,12250
municipios,34005,,Alar del Rey,Palencia,15050,12950
municipios,37007,,Alaraz,Salamanca,12950,11550
municipios,50009,,Alarba,Zaragoza,12950,12250
municipios,16003,,Alarcón,Cuenca,13650,10150
municipios,19005,,Alarilla,Guadalajara,15050,12250
municipios,7001,,Alaró,Baleares,18550,15750
municipios,25005,,Alàs i Cerc,Lleida,17850,10850
municipios,2002,,Alatoz,Albacete,11550,10150
municipios,44007,,Alba,Teruel,15050,11550
municipios,34006,,Alba de Cerrato,Palencia,,
municipios,37008,,Alba de Tormes,Salamanca,14350,12250
municipios,37009,,Alba de Yeltes,Salamanca,13650,12250
municipios,2003,,Albacete,Albacete,16450,13650
municipios,25006,,L'Albagés,Lleida,13650,12250
municipios,46006,,Albaida,Valencia,14350,12250
municipios,41003,,Albaida del Aljarafe,Sevilla,11550,9450
municipios,46007,,Albal,Valencia,15050,12250
municipios,10007,,Albalá,Cáceres,12950,10850
municipios,13004,,Albaladejo,Ciudad Real,10150,8750
municipios,16004,,Albaladejo del Cuende,Cuenca,12950,10850
municipios,46008,,Albalat de la Ribera,Valencia,14350,11550
municipios,46009,,Albalat dels Sorells,Valencia,16450,14350
municipios,46010,,Albalat dels Tarongers,Valencia,17850,15050
municipios,22007,,Albalate de Cinca,Huesca,15750,12950
municipios,16005,,Albalate de las Nogueras,Cuenca,12950,11550
municipios,19006,,Albalate de Zorita,Guadalajara,15050,11550
municipios,44008,,Albalate del Arzobispo,Teruel,16450,14350
municipios,22008,,Albalatillo,Huesca,16450,12950
municipios,4004,,Albanchez,Almería,12250,11200
municipios,23001,,Albanchez de Mági,Jaén,11550,9450
municipios,17003,,Albanyà,Giro,15050,11550
municipios,19007,,Albares,Guadalajara,15750,12250
municipios,44009,,Albarracín,Teruel,17150,15050
municipios,45003,,Albarreal de Tajo,Toledo,12950,11550
municipios,2004,,Albata,Albacete,11550,9450
municipios,25007,,Albatàrrec,Lleida,17850,15050
municipios,3005,,Albatera,Alicante,11550,10150
municipios,22009,,Albelda,Huesca,13650,12950
municipios,26005,,Albelda de Iregua,La Rioja,15750,12950
municipios,16006,,Albendea,Cuenca,13650,9450
municipios,19008,,Albendiego,Guadalajara,,
municipios,44010,,Albentosa,Teruel,14350,12250
municipios,16007,,La Alberca de Záncara,Cuenca,11550,10150
municipios,37010,,La Alberca,Salamanca,14350,13650
municipios,37011,,La Alberguería de Argañán,Salamanca,11550,10850
municipios,46011,,Alberic,Valencia,14350,11200
municipios,26006,,Alberite,La Rioja,16450,14350
municipios,50010,,Alberite de San Juan,Zaragoza,,
municipios,22011,,Albero Alto,Huesca,19250,18550
municipios,22012,,Albero Bajo,Huesca,19950,18200
municipios,22013,,Alberuela de Tubo,Huesca,17850,16450
municipios,25008,,Albesa,Lleida,17150,15050
municipios,50011,,Albeta,Zaragoza,17850,15750
municipios,25009,,L'Albi,Lleida,16450,13650
municipios,9009,,Albillos,Burgos,19950,16450
municipios,43002,,Albinya,Tarrago,15750,13650
municipios,43003,,L'Albiol,Tarrago,20650,17850
municipios,20004,,Albiztur,Gipuzkoa,23450,
municipios,12003,,Albocàsser,Castellón,15050,12950
municipios,4005,,Alboloduy,Almería,13650,11550
municipios,18003,,Albolote,Grada,14350,12250
municipios,18004,,Albondón,Grada,11550,8750
municipios,17004,,Albons,Giro,17150,15750
municipios,46012,,Alborache,Valencia,15750,12950
municipios,46013,,Alboraia/Alboraya,Valencia,19250,16450
municipios,2005,,Alborea,Albacete,11550,9450
municipios,50012,,Alborge,Zaragoza,17850,16450
municipios,5005,,Albornos,Ávila,13650,12250
municipios,4006,,Albox,Almería,12250,10150
municipios,30004,,Albudeite,Murcia,12950,10150
municipios,6005,,La Albuera,Badajoz,10850,9450
municipios,46014,,Albuixech,Valencia,16450,14350
municipios,18005,,Albuñán,Grada,13650,11550
municipios,18006,,Albuñol,Grada,9450,7700
municipios,18007,,Albuñuelas,Grada,11550,10150
municipios,6006,,Alburquerque,Badajoz,11550,9450
municipios,45004,,Alcabón,Toledo,12250,10150
municipios,2006,,Alcadozo,Albacete,12250,10150
municipios,44011,,Alcaine,Teruel,,
municipios,50013,,Alcalá de Ebro,Zaragoza,16450,12250
municipios,41004,,Alcalá de Guadaíra,Sevilla,13650,11550
municipios,22014,,Alcalá de Gurrea,Huesca,19250,16450
municipios,28005,,Alcalá de Heres,Madrid,17850,15050
municipios,44012,,Alcalá de la Selva,Teruel,17150,13650
municipios,16008,,Alcalá de la Vega,Cuenca,,10150
municipios,11001,,Alcalá de los Gazules,Cádiz,11550,8750
municipios,50014,,Alcalá de Moncayo,Zaragoza,15750,13650
municipios,12004,,Alcalà de Xivert,Castellón,13650,10850
municipios,2007,,Alcalá del Júcar,Albacete,12250,9450
municipios,22015,,Alcalá del Obispo,Huesca,17850,16450
municipios,41005,,Alcalá del Río,Sevilla,12250,10150
municipios,11002,,Alcalá del Valle,Cádiz,11550,8750
municipios,23002,,Alcalá la Real,Jaén,12950,10850
municipios,3006,,Alcalalí,Alicante,12950,11550
municipios,22016,,Alcampell,Huesca,15750,12250
municipios,26007,,Alcadre,La Rioja,14350,11550
municipios,43004,,Alcar,Tarrago,13650,11550
municipios,25010,,Alcanó,Lleida,17150,14350
municipios,10008,,Alcántara,Cáceres,14350,12250
municipios,30005,,Alcantarilla,Murcia,13650,11550
municipios,46016,,Alcàntera de Xúquer,Valencia,14350,11550
municipios,16009,,Alcantud,Cuenca,,
municipios,49003,,Alcañices,Zamora,15050,12250
municipios,44013,,Alcañiz,Teruel,16450,13650
municipios,45005,,Alcañizo,Toledo,13650,10850
